[2026-05-29 08:18:12] INFO  Installed 204 packages.
[2026-05-29 08:18:14] INFO  Found 18 models, 34 tests, 2 snapshots, 1 analysis.
[2026-05-29 08:18:22] WARNING  model.stg_payments.validations: test_not_null: Null values found in column customer_id
[2026-05-29 08:18:24] INFO  model.fact_orders: materializing view
[2026-05-29 08:18:29] ERROR  Compilation Error in model.ods_transactions: column "order_date" does not exist
[2026-05-29 08:18:35] INFO  Completed run with 16 successes, 1 error, 1 warning.
[2026-05-29 09:22:04] INFO  Running dbt with profiles.yml
[2026-05-29 09:22:10] WARNING  model.dim_customers: deprecated config 'materialized' used.
[2026-05-29 09:22:15] INFO  Executing 7 incremental models.
[2026-05-29 09:22:18] INFO  model.orders_archive: inserted 12,432 rows.
[2026-05-29 09:22:23] INFO  model.stg_products: updated 3,112 rows.
[2026-05-29 09:22:31] ERROR  model.stg_payments: failed due to timeout while loading source table.
[2026-05-29 09:22:40] INFO  Finished run in 00:03:12.
